Service,big_cluster,New_cluster,Significant ?,TotalNet
Lifestage,Hospital,Hospital,0,59846
N/D,Clinics,Clinics,1,767433
N/D,Hospital,Hospital,1,150929
Prescription,Clinics,Clinics,0,198954
Prescription,Hospital,Hospital,0,71100
