OaSurgeryCostCode,CostCodeandName,_2023_08_01,_2023_09_01,_2023_10_01,_2023_11_01,_2023_12_01,_2024_01_01,_2024_02_01,_2024_03_01,_2024_04_01,_2024_05_01,_2024_06_01,_2024_07_01,_2024_08_01,_2024_09_01,_2024_10_01,_2024_11_01,_2024_12_01,_2025_01_01,_2025_02_01,_2025_03_01,_2025_04_01,_2025_05_01,_2025_06_01,_2025_07_01
8000,8000 Djursjukhus Gammelstad,0.5555555555555556,0.7619047619047619,1.0,0.9285714285714286,0.7000000000000001,0.5833333333333334,0.9166666666666666,0.7272727272727273,0.7857142857142857,0.75,0.5,0.25,0.4,0.5555555555555556,0.5454545454545454,1.0,1.0,0.9166666666666666,0.49999999999999994,1.0,0.8888888888888888,0.4285714285714286,0.75,0.5
8001,8001 Djurklinik Öjebyn,0.8518518518518519,0.5862068965517242,0.6666666666666666,0.72,0.7916666666666666,0.9583333333333334,0.8709677419354839,0.8636363636363636,0.7307692307692308,0.8846153846153846,0.8214285714285715,0.8275862068965517,0.8064516129032258,0.7727272727272728,0.8421052631578947,0.6521739130434783,0.7692307692307693,0.6428571428571429,1.0,0.967741935483871,0.8888888888888888,0.9230769230769231,0.47058823529411764,0.875
8002,8002 Täby Djursjukhus Evidensia,0.8823529411764707,0.873015873015873,0.7746478873239436,0.8484848484848485,0.8823529411764706,0.9302325581395349,0.8923076923076924,0.8846153846153847,0.787878787878788,0.8354430379746836,0.890625,0.8813559322033898,0.78125,0.8227848101265822,0.863013698630137,0.8088235294117647,0.8888888888888888,0.9310344827586207,0.8490566037735849,0.8333333333333334,0.9305555555555556,0.7945205479452054,0.8333333333333334,0.6666666666666666
8003,8003 Djurkliniken Farsta,0.8115942028985508,0.7733333333333333,0.7536231884057971,0.8833333333333333,0.8297872340425532,0.8793103448275862,0.8059701492537313,0.8426966292134832,0.7820512820512819,0.8194444444444445,0.8208955223880596,0.6984126984126984,0.8208955223880597,0.8769230769230769,0.7534246575342465,0.8709677419354839,0.8571428571428571,0.7868852459016393,0.6764705882352942,0.7619047619047619,0.88,0.8275862068965517,0.7142857142857142,
8004,8004 Djurkliniken Gefle/ Sandviken,0.5625,0.6923076923076923,0.5609756097560976,0.8484848484848484,0.8148148148148148,0.7999999999999999,0.7647058823529411,0.48275862068965525,0.7586206896551724,0.6904761904761905,0.7222222222222223,0.6428571428571429,0.6060606060606061,0.8484848484848484,0.625,0.5428571428571429,0.9047619047619048,0.5294117647058824,0.75,0.7567567567567568,0.7714285714285714,0.8787878787878789,0.6285714285714286,0.6666666666666667
8005,8005 Djurkliniken Nacka,0.8571428571428572,0.8714285714285714,0.8695652173913043,0.8951612903225806,0.8018018018018018,0.8285714285714285,0.7851851851851852,0.8,0.8027210884353742,0.7903225806451614,0.8175182481751825,0.8067226890756303,0.8362068965517242,0.8978102189781022,0.7905405405405405,0.728813559322034,0.8452380952380952,0.7767857142857143,0.9393939393939393,0.8396946564885496,0.8717948717948718,0.8173913043478261,0.6902654867256637,0.7000000000000001
8006,8006 Djurkliniken Nyköping,0.9016393442622951,0.782608695652174,0.7999999999999999,0.7142857142857143,0.7441860465116279,0.8507462686567164,0.8999999999999999,0.8235294117647058,0.8958333333333334,0.8148148148148149,0.8333333333333334,0.8166666666666667,0.8958333333333333,0.7916666666666667,0.8421052631578948,0.7906976744186047,0.9393939393939394,0.8809523809523809,0.7346938775510203,0.7857142857142857,0.8297872340425533,0.8723404255319149,0.8918918918918919,1.0
8007,8007 Djurkliniken Roslagstull,0.9629629629629629,0.84,0.9245283018867925,0.8863636363636364,0.8780487804878049,0.9393939393939394,0.9117647058823529,0.8571428571428571,0.9459459459459459,0.8043478260869565,1.0,0.9189189189189189,0.9411764705882353,1.0,0.9487179487179487,0.9629629629629629,0.95,0.9142857142857143,1.0,0.8604651162790697,0.8518518518518519,0.9318181818181819,0.7999999999999999,1.0
8008,8008 Djurkliniken Sandviken,1.0,1.0,0.8461538461538461,0.625,0.8125,0.7142857142857143,1.0,0.5294117647058824,0.75,0.826086956521739,0.5384615384615384,0.8571428571428572,0.65,0.9285714285714286,0.6,0.9285714285714286,0.7999999999999999,0.7391304347826086,0.75,0.6,0.7368421052631579,0.6428571428571428,0.375,1.0
8009,8009 Djurkliniken Åkersberga,0.6923076923076923,0.9545454545454546,0.9375,0.8181818181818181,0.5,0.9565217391304348,0.75,0.6000000000000001,0.8064516129032258,0.7999999999999999,0.6666666666666667,0.6071428571428571,0.9090909090909091,0.7000000000000001,0.9615384615384616,0.7307692307692308,0.7222222222222222,0.9047619047619047,0.8571428571428572,0.8275862068965517,0.9615384615384616,0.7307692307692308,0.6190476190476191,1.0
8010,8010 Södra Djursjukhuset Kungens Kurva,0.8810408921933086,0.8412698412698413,0.7867132867132867,0.8162544169611308,0.7699530516431925,0.821917808219178,0.8287037037037037,0.8053097345132744,0.7793427230046949,0.7727272727272727,0.8383838383838383,0.7757575757575758,0.8012820512820513,0.7612903225806452,0.7922705314009661,0.694300518134715,0.7096774193548386,0.759493670886076,0.6948051948051948,0.7602739726027398,0.7755102040816327,0.8197674418604651,0.6715328467153285,0.7777777777777778
8011,8011 Djursjukhuset Västerort,0.7285714285714285,0.75,0.8142857142857143,0.7272727272727273,0.859375,0.7272727272727272,0.7763157894736843,0.7402597402597403,0.7011494252873562,0.7228915662650602,0.7999999999999999,0.7068965517241379,0.8775510204081632,0.7454545454545455,0.8061224489795918,0.6153846153846154,0.8125,0.7755102040816327,0.8309859154929577,0.8059701492537313,0.9545454545454546,0.7692307692307692,0.7962962962962963,0.6470588235294118
8012,8012 Djurdoktorn Mälardalen,0.875,1.0,0.8461538461538461,0.9411764705882353,0.875,0.7333333333333334,0.9629629629629629,1.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9230769230769231,0.8333333333333333,0.8666666666666667,0.8,1.0,1.0,1.0,0.6190476190476191,1.0
8013,8013 Djurkliniken Eskilstuna,0.6923076923076923,0.8,0.9411764705882353,0.8095238095238095,1.0,0.71875,0.6818181818181818,0.6818181818181819,0.65625,0.7241379310344828,0.625,0.8461538461538461,0.8181818181818181,0.825,0.9090909090909091,0.891304347826087,0.7407407407407407,0.65625,0.7647058823529411,0.725,0.7575757575757576,0.7857142857142858,0.75,0.6666666666666667
8014,8014 Djurkliniken Köping,1.0,0.8333333333333334,0.8,1.0,1.0,1.0,0.8888888888888888,0.7777777777777777,0.7142857142857143,0.7857142857142857,1.0,0.8235294117647058,0.9375,0.9333333333333333,0.6666666666666666,1.0,0.6,0.8571428571428571,1.0,1.0,0.6000000000000001,0.8,0.8,
8015,8015 Djurkliniken Västerås,0.8260869565217391,1.0,0.8400000000000001,0.75,0.8,0.5714285714285714,0.7058823529411765,0.5384615384615384,0.75,0.8214285714285714,0.5,0.7083333333333333,0.75,0.9130434782608696,0.625,0.8947368421052632,0.8947368421052632,0.6842105263157895,0.6666666666666666,0.7692307692307693,0.7647058823529411,0.5714285714285714,0.6363636363636364,0.6666666666666667
8016,8016 Evidensia Specialistdjursjukhuset Strömsholm,0.7956989247311829,0.8260869565217391,0.7857142857142858,0.812206572769953,0.8525641025641026,0.7840909090909091,0.797029702970297,0.8660287081339713,0.8010204081632653,0.791044776119403,0.7794117647058824,0.6560509554140128,0.7584541062801932,0.7314814814814815,0.7641196013289037,0.7446808510638298,0.689655172413793,0.7417582417582417,0.8015873015873016,0.7142857142857143,0.7391304347826088,0.6971153846153847,0.8014184397163121,0.6290322580645161
8017,8017 Djurkliniken Karlskoga,0.8571428571428572,1.0,0.7857142857142857,0.8571428571428571,0.33333333333333337,1.0,0.7777777777777777,0.7894736842105263,0.7333333333333333,0.7777777777777777,0.7619047619047619,0.8484848484848484,0.6956521739130435,0.896551724137931,0.8571428571428571,0.8,0.6521739130434783,0.8620689655172414,0.7647058823529411,0.72,0.8695652173913043,0.5217391304347826,0.8421052631578947,0.75
8018,8018 Karlstad Djursjukhus Evidensia,0.8620689655172414,0.9137931034482759,0.9166666666666666,0.826923076923077,0.8823529411764706,0.894736842105263,0.868421052631579,0.8085106382978724,0.9777777777777777,0.8048780487804877,0.8333333333333334,0.7777777777777778,0.7692307692307692,0.7027027027027027,0.8648648648648649,0.8666666666666667,0.9230769230769231,0.96,0.8125,0.7307692307692308,0.8666666666666667,0.8695652173913043,0.95,1.0
8019,8019 Djurkliniken Norrköping,0.7924528301886793,0.9459459459459459,0.7222222222222222,0.803921568627451,0.7096774193548387,0.7727272727272727,0.5333333333333333,0.8064516129032258,0.8571428571428571,0.7446808510638299,0.7857142857142857,0.9,0.8666666666666667,0.7037037037037037,0.6486486486486487,0.8260869565217391,0.7647058823529411,0.8275862068965517,0.5789473684210527,0.7111111111111111,0.7999999999999999,0.8043478260869565,0.6818181818181818,0.875
8020,8020 Djursjukhus Valla Linköping,0.8284023668639052,0.765625,0.7999999999999999,0.8148148148148148,0.78125,0.8136645962732919,0.8272251308900525,0.8323699421965318,0.8430232558139534,0.7010309278350515,0.8028169014084506,0.7017543859649122,0.7818181818181817,0.8461538461538461,0.7883597883597884,0.7555555555555555,0.7846153846153846,0.7251461988304093,0.8612716763005781,0.8060606060606061,0.8132530120481928,0.7898089171974523,0.7372262773722628,0.7954545454545454
8021,8021 Djurkliniken Frölunda,0.8571428571428572,0.6451612903225806,0.8823529411764706,0.9473684210526315,0.8333333333333333,0.8974358974358975,0.6551724137931035,0.9,0.8260869565217391,0.8378378378378379,0.8235294117647058,0.8,0.9130434782608696,0.7741935483870968,0.7692307692307692,0.6842105263157895,1.0,0.9210526315789473,0.8518518518518519,0.696969696969697,0.9230769230769231,0.71875,0.8275862068965517,1.0
8022,8022 Djurkliniken Kungälv,1.0,0.8823529411764706,0.8571428571428571,1.0,0.7142857142857142,0.9523809523809523,0.8947368421052632,0.90625,0.9268292682926829,0.896551724137931,0.8235294117647058,0.6785714285714286,0.8125,0.7647058823529411,1.0,0.8947368421052632,1.0,0.9444444444444444,1.0,0.8888888888888888,0.9375,0.8571428571428572,0.9090909090909092,1.0
8023,8023 Djurkliniken Kållered,0.8048780487804877,0.6666666666666667,0.9019607843137254,0.8378378378378378,0.8809523809523809,0.9259259259259259,0.7916666666666666,0.9302325581395349,0.8484848484848485,0.8571428571428571,0.7692307692307692,0.926829268292683,0.825,0.76,0.9285714285714285,0.8421052631578947,0.7941176470588235,0.68,0.8125,0.8888888888888888,0.8529411764705882,0.8333333333333334,0.6000000000000001,0.9375
