CountryKey,FiscalYearKey,CompanyKey,CostCodeKey,CountryCode,CCC,COMPANY_CODE,COST_CODE,COUNTRY,BRAND,BRAND_DESCRIPTION,BUSINESS_AREA,BUSINESS_AREA2,COUNTRY_REPORTING,REPORTING_ENTITY,FTE_TYPE,BALANCE_TYPE,FISCAL_YEAR,10,11,12,1,2,3,4,5,6,7,8,9
14,2018,490,1456,SE,56008001,5600,8001,Sweden,Djurklinik Öjebyn,Djurklinik Öjebyn,Vets,Small animal,Sweden,Sweden,Vet FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,5.900,5.900,5.900,2.800,2.600,5.700
14,2018,490,1456,SE,56008001,5600,8001,Sweden,Djurklinik Öjebyn,Djurklinik Öjebyn,Vets,Small animal,Sweden,Sweden,Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Head Office FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Locum Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Locum Vet FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Nurse FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,12.400,12.300,12.300,11.300,11.000,14.000
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Nurse FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Support FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,3.800,3.800,3.800,6.000,6.000,4.000
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Support FTE,BDQTY,2018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2018,490,1457,SE,56008002,5600,8002,Sweden,Djurkliniken Arninge,Djurkliniken Arninge,Vets,Small animal,Sweden,Sweden,Vet FTE,AQ,2018,0.000,0.000,0.000,0.000,0.000,0.000,6.300,6.300,6.200,6.300,6.300,5.500
